scenario,eGFR_baseline,eGFR_year10,eGFR_decline,eGFR_slope,MAP_baseline,MAP_year10,MAP_slope,P_GC_baseline,P_GC_year10,P_GC_slope,K_year10
Protected,106.19182152713891,90.94066336168906,15.251158165449851,-1.2067868104667048,93.0,84.00013450804695,-0.4010416683356557,48.92695492180313,47.298004117142064,-0.0834775629296884,0.8460492735796724
Transitional_Untreated,106.19182152713891,81.0456507661141,25.14617076102482,-2.4472625480049826,93.0,91.16263679641705,-0.0113897017410645,48.92695492180313,48.96156634280703,0.0273498871251652,0.6630843897503754
Transitional_SGLT2i,106.19182152713891,95.2201472060344,10.971674321104516,-0.1953218935878583,93.0,87.16270577490275,-0.2124352924826442,48.92695492180313,45.80137383230745,-0.0347435964278837,0.968034014914943
Transitional_SGLT2i_RAASi,106.19182152713891,89.81071147881379,16.381110048325127,-0.1018522999273977,93.0,85.66273164183485,-0.2878273890107258,48.92695492180313,43.41938503892547,-0.0575947675295972,0.9885612568643268
HighRisk_NaturalCourse,106.19182152713891,68.331074347535,37.86074717960392,-3.987708487910995,93.0,97.80843154683096,0.3239107740220555,48.92695492180313,50.709115823008176,0.1556802064529052,0.477689794603551
